"sample_id","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","protein","moisture","slope1","bias1","slope2","bias2","product","date","time","int_time","temp","gps","utc_time","y","n","x","w","id"
"SEC 1 EAST",0,0,3.022053,2.951737,2.879924,2.812711,2.753261,2.697563,2.64982,2.6131,2.590597,2.586713,2.593312,2.587565,2.557136,2.517129,2.497942,2.526226,2.607708,2.713385,2.781673,2.792598,2.770778,2.732084,2.682525,2.628848,2.579013,2.531068,2.483811,2.44022,2.402038,2.371588,2.35244,2.344265,2.356085,2.41614,2.551031,2.737739,11.159,8.4924,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","18:16:57",10000,0,"GPGGA",1552,46.0415432,"N",-109.17473825,"W",18900
"SEC 1 EAST",3.035858,2.959099,2.8896,2.824378,2.760509,2.703086,2.652101,2.60217,2.558372,2.527181,2.509229,2.508963,2.519516,2.516106,2.487864,2.452222,2.436753,2.46614,2.547428,2.647316,2.712791,2.72644,2.708947,2.673729,2.628277,2.577475,2.528819,2.483116,2.436132,2.393663,2.358835,2.330412,2.312162,2.305438,2.317701,2.376582,2.510451,2.695556,11.545,9.565,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:11:24",10000,34.3,"GPGGA",201101,46.04423505,"N",-109.175533366667,"W",18416
"SEC 1 EAST",2.871861,2.801726,2.7404,2.681943,2.624707,2.571655,2.522675,2.477005,2.438264,2.408488,2.39256,2.393898,2.403513,2.40069,2.375314,2.341048,2.327054,2.355803,2.429223,2.523326,2.585416,2.597221,2.581521,2.550653,2.507918,2.461291,2.417175,2.373556,2.330307,2.291624,2.257749,2.231602,2.214948,2.207505,2.219039,2.274676,2.398231,2.570921,13.654,9.0453,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:11:38",10000,34.8,"GPGGA",201115,46.0442356,"N",-109.17533915,"W",18417
"SEC 1 EAST",3.108635,3.027474,2.955014,2.88562,2.818826,2.754175,2.696753,2.645505,2.599146,2.564353,2.544363,2.540198,2.547502,2.543189,2.512911,2.475013,2.459718,2.488832,2.568243,2.670137,2.733991,2.744034,2.723633,2.685173,2.637101,2.585057,2.534905,2.485899,2.438581,2.394866,2.358064,2.329069,2.31,2.302716,2.315127,2.373682,2.506386,2.691131,10.609,9.422,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:21:25",10000,36.3,"GPGGA",202048,46.0442244,"N",-109.16850905,"W",18446
"SEC 1 EAST",3.267089,3.179435,3.100876,3.026628,2.955829,2.889686,2.828267,2.772217,2.723635,2.687029,2.667449,2.666864,2.676848,2.675738,2.648032,2.60683,2.590202,2.624615,2.717045,2.836098,2.911416,2.922513,2.897555,2.853008,2.798217,2.741136,2.687118,2.635892,2.58637,2.539196,2.4994,2.467877,2.446016,2.436258,2.448715,2.510825,2.653642,2.854545,7.7217,8.6764,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","17:17:13",10000,35.8,"GPGGA",231547,46.0398564,"N",-109.175674683333,"W",18784
"SEC 1 EAST",2.99313,2.917259,2.847375,2.782218,2.721099,2.665099,2.612108,2.562295,2.518273,2.485898,2.468902,2.467999,2.477685,2.474564,2.445994,2.408905,2.394085,2.422809,2.501318,2.601595,2.666092,2.678618,2.662475,2.628869,2.58408,2.535764,2.488106,2.442234,2.396826,2.354302,2.318473,2.291713,2.27356,2.266776,2.279582,2.339298,2.472119,2.656523,12.457,9.2522,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:09:43",10000,34,"GPGGA",200916,46.0442377166667,"N",-109.176858283333,"W",18410
"SEC 1 EAST",2.931321,2.861407,2.797472,2.738199,2.682021,2.627593,2.577032,2.529213,2.487332,2.457473,2.442245,2.443218,2.454361,2.452855,2.425917,2.390899,2.376599,2.405931,2.484422,2.583117,2.645105,2.657234,2.640699,2.607156,2.564159,2.516507,2.470297,2.426714,2.382615,2.340964,2.306499,2.278947,2.260988,2.254427,2.266315,2.323654,2.452343,2.625329,11.192,9.255,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:10:02",10000,34,"GPGGA",200935,46.0442373166667,"N",-109.176631816667,"W",18411
"SEC 1 EAST",3.085265,3.003429,2.932804,2.86606,2.796525,2.733957,2.679851,2.628535,2.583923,2.549845,2.529792,2.527985,2.535892,2.531013,2.501996,2.463971,2.446259,2.474699,2.552231,2.651304,2.717508,2.73101,2.713429,2.679559,2.632831,2.58171,2.533353,2.486173,2.439012,2.39675,2.359766,2.331161,2.313584,2.306017,2.317791,2.377687,2.511066,2.694546,13.331,9.2906,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:10:21",10000,34.1,"GPGGA",200954,46.0442373333333,"N",-109.176406033333,"W",18412
"SEC 1 EAST",3.061744,2.9821,2.910723,2.845263,2.780933,2.718937,2.665182,2.616728,2.573239,2.540919,2.525229,2.527025,2.53998,2.540633,2.513135,2.476003,2.461176,2.492734,2.577658,2.687595,2.759696,2.774307,2.75644,2.718822,2.669383,2.616382,2.565341,2.518059,2.469754,2.425581,2.388683,2.359175,2.339565,2.331491,2.344815,2.405147,2.541611,2.736665,9.6113,9.2955,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:10:38",10000,34.3,"GPGGA",201013,46.0442366666667,"N",-109.1761772,"W",18413
"SEC 1 EAST",2.936422,2.862958,2.796617,2.736238,2.677054,2.620863,2.570472,2.521984,2.48002,2.450177,2.434955,2.438014,2.449988,2.448364,2.421606,2.386877,2.372751,2.404085,2.484064,2.584813,2.650389,2.6646,2.647169,2.612562,2.567988,2.51887,2.472407,2.428164,2.382692,2.341187,2.30656,2.278623,2.261211,2.254888,2.267265,2.325062,2.456599,2.638602,10.269,8.8757,1.08,-2.3,1,0.3,"Wheat16H","3/08/2017","14:10:53",10000,34.2,"GPGGA",201029,46.0442367333333,"N",-109.175975483333,"W",18414
